name,brand,price,bang_tan_2g,bang_tan_3g,battery_capacity,battery_life,bluetooth,brand,brand_country,camera_sau,camera_truoc,cart_slot,charge_time,chip_do_hoa,chip_set,chuc_nang_khac,connect_khac,connect_nfc,cpu_speed,den_flash,dimensions,display_type,fm_radio,ghi_am,gps,ho_tro_4g,ho_tro_5g,included_accessories,is_authentic,is_warranty_applied,item_model_number,jack_headphone,kha_dung,khe_sim,loai_pin,loai_sim,luu_y,manufacturer_electronics,material,nghe_nhac,organization_address,organization_name,origin,part_number,pin_co_the_thao_roi,port_sac,product_weight,quay_phim,ram,resolution,rom,screen_size,seller_delivery_method,service_highlight_1,service_highlight_2,service_highlight_3,the_ngoai_toi_da,tinh_nang_camera,vat_taxable,video_call,warranty_form,warranty_time_period,wifi,xem_phim
Điện thoại Xiaomi Redmi Note 12S 4G (8GB/256GB) - Hàng chính hãng,Xiaomi,4790000,,,5000 mAh,,"LE, v5.1, A2DP",Xiaomi,,,,"MicroSD, hỗ trợ tối đa 1 TB",,Mali-G57 MC2,MediaTek Helio G96 8 nhân,,,,2 nhân 2.05 GHz &amp; 6 nhân 2.0 GHz,Có,<p>Dài 159.87 mm - Ngang 73.87 mm - Dày 8.09 mm</p>,AMOLED,,Có,Có,Có,,"<p>Bộ sản phẩm gồm: Hộp, Sách hướng dẫn, Cây lấy sim, Ốp lưng, Cáp Type C, Củ sạc nhanh rời đầu Type A</p>",Có,Có,Xiaomi Redmi Note 12S 4G (8GB/128GB),3.5 mm,235 GB,2 Nano SIM,Li-Po,2 Nano SIM,,,Khung nhựa và Mặt lưng kính,Có,,,,,,Type-C,176 g,Có,8 GB,Full HD+ (1080 x 2400 Pixels),256 GB,6.43 inch,,,,,,"Chụp hình, quay phim, xóa phông",Có,Có,Điện tử,18,"Dual-band (2.4 GHz/5 GHz), Wi-Fi 802.11 a/b/g/n/ac",Có
Điện thoại Samsung Galaxy S23 Plus 5G (8GB/512GB) - Hàng chính hãng ,Samsung,21290000,,,4700 mAh,,v5.3,Samsung,Hàn Quốc,"Chính 50 MP & Phụ 12 MP, 10 MP",12 MP,Không,,Adreno 740,Snapdragon 8 Gen 2 8 nhân,"Sạc siêu nhanh 2.0 45W, Chia sẻ pin không dây",,Có,"1 nhân 3.36 GHz, 4 nhân 2.8 GHz & 3 nhân 2 GHz",Có,Dài 157.8 mm - Ngang 76.2 mm - Dày 7.6 mm,"Infinity-O, Dynamic AMOLED 2X (48~120Hz)",,,"GPS
-
GLONASS
-
GALILEO
-
BEIDOU",Có,Có,"Cáp Type C, Cây lấy sim, Hộp, Sách hướng dẫn",Có,Có,Galaxy S23 Plus 5G,Type-C,,2,Li-Ion,2 Nano SIM hoặc 1 Nano SIM + 1 eSIM,,,Khung nhôm & Mặt lưng kính cường lực,"WAV
-
AAC
-
OGG
-
MP3
-
AMR
-
Midi
-
M4A",,,Việt Nam,,Pin liền thân máy,Type-C,195 g,"HD 720p@30fps
-
FullHD 1080p@60fps
-
4K 2160p@30fps
-
4K 2160p@60fps
-
FullHD 1080p@30fps
-
8K 4320p@30fps",8GB,Full HD+ (1080 x 2340 Pixels),512GB,6.6 inch,,,,,,"Ảnh Raw
-
Chuyên nghiệp (Pro)
-
Tự động lấy nét (AF)
-
Toàn cảnh (Panorama)
-
Quay Siêu chậm (Super Slow Motion)
-
Nhãn dán (AR Stickers)
-
Làm đẹp
-
Ban đêm (Night Mode)
-
Zoom quang học
-
AI Camera
-
Live Photo
-
Bộ lọc màu
-
Quay chậm (Slow Motion)
-
Xóa phông
-
Zoom kỹ thuật số
-
Chống rung quang học (OIS)
-
Trôi nhanh thời gian (Time Lapse)
-
Góc siêu rộng (Ultrawide)",Có,"Gọi qua ứng dụng Zalo, Messenger,…",Điện tử,12,"Wi-Fi Direct
-
Dual-band (2.4 GHz/5 GHz)
-
Wi-Fi 802.11 a/b/g/n/ac/ax
-
6 GHz","MP4
-
3GP
-
AVI
-
MKV
-
FLV"
Điện thoại Samsung Galaxy Z Flip 4 (8GB/256GB) - Hàng chính hãng,Samsung,14990000,,, 3700 mAh,,v5.2,Samsung,Hàn Quốc,2 camera 12 MP,10 MP,,,Adreno 670,Snapdragon 8+ Gen 1 8 nhân,," NFC, OTG",,"1 nhân 3.18 GHz, 3 nhân 2.7 GHz & 4 nhân 2 GHz",Có,<p>Dài 165.2 mm - Ngang 71.9 mm - Dày 6.9 mm</p>," Chính: Dynamic AMOLED 2X, Phụ: Super AMOLED",,"Ghi âm mặc định, Ghi âm cuộc gọi","BEIDOU, GALILEO, GLONASS, GPS, QZSS",,Có,"<p>Hộp, hướng dẫn sử dụng, cáp sạc, que tháo sim</p>",Có,Có,,Type-C,218.3 GB,1 Nano SIM & 1 eSIM, Li-Ion,,,, Khung nhôm & Mặt lưng kính cường lực,"AAC, AMR, FLAC, M4A, Midi, MP3, OGG, WAV",,,Trung Quốc,,Không,Type-C,187 g,"4K 2160p@30fps, 4K 2160p@60fps, FullHD 1080p@30fps, FullHD 1080p@60fps, HD 720p@30fps",8GB,FHD+ (2640 x 1080 Pixels) ,256GB,6.7 inch,,,,,,"AI Camera, Ban đêm (Night Mode), Bộ lọc màu, Chuyên nghiệp (Pro), Chống rung quang học (OIS), Góc rộng (Wide), Góc siêu rộng (Ultrawide), Hiệu ứng Bokeh, Live Photo, Làm đẹp, Quay chậm (Slow Motion), Quay Siêu chậm (Super Slow Motion), Quay video hiển thị kép, Toàn cảnh (Panorama), Trôi nhanh thời gian (Time Lapse), Xóa phông, Zoom kỹ thuật số, Zoom quang học",Có,,Điện tử,12,"6 GHz, Dual-band (2.4 GHz/5 GHz), Wi-Fi 802.11 a/b/g/n/ac/ax, Wi-Fi MIMO","3GP, AVI, FLV, MKV, MP4"
Điện thoại Samsung Galaxy A54 5G (8GB/128GB) - Hàng chính hãng,Samsung,8690000,,,,,,Samsung,,,,,,,,,,,,,,,,,,,,,Có,Có,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Có,,Điện tử,12,,
Điện thoại Samsung Galaxy A34 5G (8GB/128GB) - Hàng chính hãng,Samsung,6990000,,,5000 mAh,,v5.3,Samsung,Hàn Quốc," Chính 48 MP & Phụ 8 MP, 5 MP",13 MP, MicroSD,, Mali-G68 MC4,MediaTek Dimensity 1080 8 nhân,,"OTG,  Hồng ngoại , NFC",,2.2 GHz,Có,<p>Dài 161.3 mm - Ngang 78.1 mm - Dày 8.2 mm</p>,Super AMOLED,," Ghi âm mặc định, Ghi âm cuộc gọi"," GLONASS, GPS, GALILEO, QZSS, BEIDOU",,Có,"<p>Hộp, sách hướng dẫn, cây lấy SIM, cáp Type C</p>",Có,Có,, Type-C,113 GB,2, Li-Po,Nano SIM,,,Khung & Mặt lưng nhựa,Có,,,Trung Quốc,,, Type-C,,"FullHD 1080p@60fps, FullHD 1080p@30fps, 4K 2160p@30fps, HD 720p@30fps, HD 720p@60fps", 8 GB,Full HD+ (1080 x 2340 Pixels),128 GB,6.6 inch,,,,,1 TB," Quay Siêu chậm (Super Slow Motion), AI Camera, Chuyên nghiệp (Pro), Tự động lấy nét (AF), Toàn cảnh (Panorama), Ban đêm (Night Mode), Zoom quang học, Làm đẹp, Siêu cận (Macro), Bộ lọc màu, Trôi nhanh thời gian (Time Lapse), Góc siêu rộng (Ultrawide), Góc rộng (Wide), Quay chậm (Slow Motion), Chống rung quang học (OIS)",Có,,Điện tử,12,"Dual-band (2.4 GHz/5 GHz), Wi-Fi hotspot, Wi-Fi Direct, Wi-Fi 802.11 a/b/g/n/ac, Wi-Fi MIMO",Có
Điện thoại Xiaomi Redmi 9A (2GB/32GB) - Hàng chính hãng,Xiaomi,1790000,,,5000 mAh,,Có,Xiaomi,Trung Quốc,13 MP,5 MP,"MicroSD, hỗ trợ tối đa 512 GB",,IMG PowerVR GE8320,MediaTek Helio G25 8 nhân,, OTG,,8 nhân 2.0 GHz,Có,<p>Dài 164.9 mm - Ngang 77.07 mm - Dày 9 mm</p>,IPS LCD,Không,Ghi âm mặc định,"BDS, A-GPS, GLONASS",Có,Không,"Cáp, sạc, sách hướng dẫn",Có,Có,Redmi 9A,3.5 mm, 22 GB,2 sim,Pin chuẩn Li-Ion,2 Nano SIM,,,Khung & Mặt lưng nhựa,"AAC, MP3",,,Trung Quốc,,Pin liền,Micro USB,194 g,"Quay phim HD 720p@30fps, Quay phim FullHD 1080p@30fps",2GB,HD+ (700 x 1600 pixels),32GB,6.53 inch,,,,,Hỗ trợ tối đa 512 GB,"Xoá phông, A.I Camera, Tự động lấy nét (AF), Chạm lấy nét, Nhận diện khuôn mặt, HDR",Có,Hỗ trợ VideoCall thông qua ứng dụng,Điện tử,18,Có," 3GP, MP4"
Apple iPhone 13,Apple,15850000,,,,,v5.0,Apple,Mỹ,2 Camera: Góc rộng ống kính f/1.8 - Siêu rộng,,,,,Chip A15 Bionic (5nm),,,,,,146.7 x 71.5 x 7.4 mm,Super Retina XDR,,,,,,,Có,Có,iphone 13 128g,,,,,,,,,,,,Trung Quốc,,,Lightning,164g,,4GB,,128GB,6.1 inch,,,,,,,,,Hóa đơn,12,Wifi 6,
Điện thoại Samsung Galaxy A04s (4GB/64GB) - Hàng chính hãng,Samsung,2790000,,,5000 mAh,,v5.0,Samsung,Hàn Quốc,"Chính 50 MP & Phụ 2 MP, 2 MP",5 MP,MicroSD,,Mali-G52,Exynos 850 8 nhân,"Mở khoá khuôn mặt, Mở khoá vân tay cạnh viền, Ứng dụng kép (Dual Messenger)",,,2.0 GHz,Có,Dài 164.7 mm - Ngang 76.7 mm - Dày 9.1 mm,IPS LCD,,,"GPS, GLONASS",Có,Không,"Hộp, Sách hướng dẫn, Cây lấy sim, Cáp Type C, Củ sạc rời đầu Type A",Có,Có,Galaxy A04s,3.5 mm,,2,Li-Po,Nano SIM,,,Khung & Mặt lưng nhựa,"MP3, M4A, 3GA, AAC, OGG, OGA, WAV, AMR, AWB, FLAC, MID, MIDI, XMF, MXMF, IMY, RTTTL, RTX, OTA",,,Việt Nam,,Pin liền thân máy,Type-C,195 g,"FullHD 1080p@30fps, HD 720p@30fps",4GB,HD+ (720 x 1600 pixels),64GB,6.5 inch,,,,,Hỗ trợ tối đa 1 TB,"Chuyên nghiệp (Pro),  Tự động lấy nét (AF),  HDR , Toàn cảnh (Panorama) , Xóa phông , Siêu độ phân giải  ,Làm đẹp  ,Zoom kỹ thuật số , Siêu cận (Macro),  Bộ lọc màu",Có,"Gọi qua ứng dụng Zalo, Messenger,…",Điện tử,12,"Dual-band (2.4 GHz/5 GHz),  Wi-Fi Direct,  Wi-Fi 802.11 a/b/g/n/ac","MP4, M4V, 3GP, 3G2, AVI, FLV, MKV, WEBM"
Apple iPhone 15 Plus,Apple,24990000,,,,,,Apple,Mỹ,,,,,,,,,,,,,Super Retina XDR ,,,,,,,Có,Có,,,,,,,,,,,,,Mỹ,,,USB-C ,,,,,,6.7 inch,,,,,,,Có,,Điện tử,12,,
Điện Thoại Oppo Reno8 5G (8GB/256GB) - Hàng Chính Hãng,OPPO,6490000,,, 4500 mAh,,V5.3,OPPO,Trung Quốc," Chính 50 MP & Phụ 8 MP, 2 MP", 32 MP,,,Mali-G77 MC9, MediaTek Dimensity 1300 8 nhân,,OTG,,3 GHz,Có,<p>Dài 160 mm - Ngang 73.4 mm - Dày 7.67 mm</p>, AMOLED,," Ghi âm mặc định, Ghi âm cuộc gọi"," GLONASS, BEIDOU, GALILEO, QZSS, GPS",,Có,"<p>Hộp, sách hướng dẫn, cây lấy sim, Cáp Type C, Củ sạc nhanh Type C</p>",Có,Có,,Type-C,241 GB,2, Li-Po,Nano SIM,,, Khung nhựa & Mặt lưng thuỷ tinh hữu cơ,"OGG, MP3, FLAC, Midi",,,Trung Quốc,,,Type-C,,"HD 720p@30fps, FullHD 1080p@60fps, FullHD 1080p@30fps, 4K 2160p@30fps, HD 720p@60fps, HD 720p@960fps",8GB,Full HD+ (1080 x 2400 Pixels),256GB,6.43 inch,,,,,," AI Camera, Siêu độ phân giải, Ban đêm (Night Mode), Trôi nhanh thời gian (Time Lapse), Quay chậm (Slow Motion), Xóa phông, Toàn cảnh (Panorama), HDR, Chuyên nghiệp (Pro), Hiệu ứng Bokeh, Bộ lọc màu, Quay video hiển thị kép, Nhãn dán (AR Stickers), Làm đẹp, Google Lens, Zoom kỹ thuật số, Siêu cận (Macro), Góc siêu rộng (Ultrawide)",Có,,Điện tử,12," Dual-band (2.4 GHz/5 GHz), Wi-Fi 802.11 a/b/g/n/ac/ax"," AVI, MP4"
Điện Thoại Xiaomi Redmi Note 12 4GB/128GB - Hàng Chính Hãng,Xiaomi,3699000,,,,,A2DP,Xiaomi,,,,1 TB,,,Snapdragon 685 8 nhân,,,,,,<p>Dài 165.66 mm - Ngang 75.96 mm - Dày 7.85 mm - Nặng 183.5 g</p>,AMOLED,,,,,,"<p>Bộ sản phẩm bao gồm: Pin, sạc, cáp USB kiểu C, ốp lưng, hướng dẫn, cây tháo sim.</p>",Có,Có,Xiaomi Redmi Note 12 4GB/128GB,3.5 mm,4GB/128GB,2 SIM,Li-Po,2 Nano SIM,,,,,,,,,,Type-C,Nặng 183.5 g,,,,,6.67 inch,,,,,MicroSD,,Có,,Điện tử,18,Dual-band (2.4 GHz/5 GHz),
Điện Thoại Samsung A34 5G 8GB/128GB - Hàng Chính Hãng,Samsung,5820000,,,,,Có,Samsung,,,,,,,Dimensity 1080,,,,,,,AMOLED,,,,,,"<p>Bộ sản phẩm bao gồm: Thân máy, cáp sạc, dụng cụ lấy sim, sách hướng dẫn.</p>",Có,Có,Điện Thoại Samsung A34 5G 8GB/128GB,,8GB/128GB,2 Sim,,2 Nano Sim,,,,,,,,,,Type C,199g,,,,,6.6 inch,,,,,,,Có,,Điện tử,12,Có,
"[Mới] Điện thoại vivo V29e 5G (8GB/256GB) - Hàng Chính Hãng - Camera Selfie 50 MP - Vòng Sáng Aura 2.0 - Màn hình AMOLED 6.67""",Vivo,8990000,,,4800 mAh,,,Vivo,,,,,,,,,,,,,,AMOLED,,,,,,"<p>Ốp lưng trong suốt</p>
<p>Miếng dáng bảo vệ màn hình</p>
<p>Cáp sạc, củ sạc</p>
<p> </p>",Có,Có,V Series,3.5mm,,,,Nano,,,,,,,,,,,190g,,8GB,,256GB,6.67 inch,,,,,,,Có,,Điện tử,12,,
Điện thoại Vivo Y36 (8GB/128GB) - Hàng Chính Hãng - Camera 50MP - Sạc Nhanh 44W,Vivo,5490000,,,,,,Vivo,,,,,45 phút,,,,,,,,,Amoled,,,,,,<p>C</p>,Có,Có,,,128GB,,5000mAh,,,,,,,,,,,Type C,,,,,,,,,,,,,Có,,Hóa đơn,12,,
Điện thoại VIVO Y02t - Hàng chính hãng - Pin Khủng 5000mAh - Màn hình 6.51HD+,Vivo,2990000,,,5.000 mAh,,v5.0,Vivo,,,,microSD,,, Helio P35,,,,,,<p>163.99 × 75.63 × 8.49 mm</p>,IPS LCD,,,"QZSS, GPS, BeiDou, GLONASS, Galileo",4G,không,<p>Đầu sạc &#43; Dây cáp sạc</p>,Có,Có,Y02t (4GB/64GB),,,,,,,,,,,,,,,Type C,,,4GB,HD+ (720 x 1600 pixels),,6.5 inch,,,,,,,Có,,Hóa đơn,12,,
Điện thoại Samsung Galaxy A34 5G (8GB/128GB) - Đã kích hoạt bảo hành điện tử - Hàng chính hãng,Samsung,5990000,,,,,,Samsung,,,,,,,,,,,,,,,,,,,,,Có,Có,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Có,,Hóa đơn,12,,
Điện Thoại Nokia C30 (2GB/32GB) - Hàng Chính Hãng,Nokia,1490000,,,6000 mAh,," A2DP, v4.2",Nokia,Trung Quốc,Chính 13 MP & Phụ 2 MP,5 MP,MicroSD,,IMG PowerVR 8322,Spreadtrum SC9863A 8 nhân,,,,4 nhân 1.6 GHz & 4 nhân 1.2 GHz,Có,<p>Dài 177.7 mm - Ngang 79.1 mm - Dày 9.9 mm</p>,IPS LCD,,,A-GPS,Có,,"Sách hướng dẫn, cây lấy sim, cáp",Có,Có,,3.5 mm,,2,Li-Po,Nano SIM,,,,"MP3, WAV",,,Trung Quốc,,, Micro USB,237 g,"FullHD 1080p@30fps, HD 720p@30fps",2GB,HD+ (720 x 1600 pixels),32GB,,,,,,256 GB," Chạm lấy nét,  HDR,  Làm đẹp  Nhận diện khuôn mặt,  Toàn cảnh (Panorama),  Tự động lấy nét (AF),  Xóa phông",Có,,Điện tử,12,"Wi-Fi 802.11 a/b/g/n, Wi-Fi hotspot",MP4
Điện thoại Samsung Galaxy A05 (4GB/128GB) - Đã kích hoạt bảo hành điện tử - Hàng chính hãng,Samsung,2690000,,,5000 mAh,,	v5.3,Samsung,Hàn Quốc,Chính 50 MP &amp; Phụ 2 MP,	8 MP,"MicroSD, hỗ trợ tối đa 1 TB",,Mali-G52,MediaTek Helio G85,,,,	4 nhân 2.0 GHz &amp; 4 nhân 1.8 GHz,,<p>Dài 168.8 mm - Ngang 78.2 mm - Dày 8.8 mm</p>,PLS LCD,,,,Có,,"Sách hướng dẫn, Cáp sạc",Có,Có,,3.5mm,,2,Li-Po,Nano Sim,,,Khung &amp; Mặt lưng nhựa,,,,Trung Quốc,,,Type-C,195 g,,4GB,HD+ (720 x 1600 pixels),128GB,6.7 inch,,,,,,,,,Điện tử,12,	 Wi-Fi Direct  /Wi-Fi 802.11 a/b/g/n/ac  /Dual-band (2.4 GHz/5 GHz),
